source,state,district
NFHS-6,LADAKH,N/A (State level)
NFHS-6,NCT OF DELHI,N/A (State level)
NFHS-6,DADRA & NAGAR HAVELI AND DAMAN & DIU,N/A (State level)
NFHS-6,TEL ANGANA,N/A (State level)
NFHS-5,ANDHRA PRADESH,Y.S.R.
NFHS-5,ARUNACHAL PRADESH,SIANG
NFHS-5,ARUNACHAL PRADESH,LONGDING
NFHS-5,ARUNACHAL PRADESH,NAMSAI
NFHS-5,ARUNACHAL PRADESH,KRA DAADI
NFHS-5,ASSAM,CHARAIDEO
NFHS-5,ASSAM,SOUTH SALMARA MANCACHAR
NFHS-5,ASSAM,MAJULI
NFHS-5,ASSAM,HOJAI
NFHS-5,ASSAM,WEST KARBI ANGLONG
NFHS-5,ASSAM,BISWANATH
NFHS-5,CHHATTISGARH,DANTEWADA
NFHS-5,CHHATTISGARH,SUKMA
NFHS-5,CHHATTISGARH,KODAGAON
NFHS-5,CHHATTISGARH,BALODA BAZAR
NFHS-5,CHHATTISGARH,MUNGELI
NFHS-5,CHHATTISGARH,SURAJPUR
NFHS-5,CHHATTISGARH,BALOD
NFHS-5,CHHATTISGARH,BALRAMPUR
NFHS-5,CHHATTISGARH,BEMETARA
NFHS-5,CHHATTISGARH,GARIYABAND
NFHS-5,DADRA & NAGAR HAVELI AND DAMAN & DIU,DAMAN
NFHS-5,DADRA & NAGAR HAVELI AND DAMAN & DIU,DIU
NFHS-5,GUJARAT,DAHOD
NFHS-5,GUJARAT,PANCHMAHAL
NFHS-5,GUJARAT,ARAVALI
NFHS-5,GUJARAT,CHHOTA UDAIPUR
NFHS-5,GUJARAT,MAHISAGAR
NFHS-5,GUJARAT,GIR SOMNATH
NFHS-5,GUJARAT,BOTAD
NFHS-5,GUJARAT,SABARKANTHA
NFHS-5,GUJARAT,MORBI
NFHS-5,GUJARAT,DEVBHUMI DWARKA
NFHS-5,HARYANA,CHARKHI DADRI
NFHS-5,JHARKHAND,SARAIKELA-KHARSAWAN
NFHS-5,MADHYA PRADESH,KHANDWA (EAST NIMAR)
NFHS-5,MADHYA PRADESH,AGAR MALWA
NFHS-5,MADHYA PRADESH,KHARGONE (WEST NIMAR)
NFHS-5,MAHARASHTRA,PALGHAR
NFHS-5,MEGHALAYA,SOUTH WEST GARO HILLS
NFHS-5,MEGHALAYA,EAST JAINTIA HILLS
NFHS-5,MEGHALAYA,NORTH GARO HILLS
